pharmacy|药房；配药学，药剂学；制药业；一批备用药品
toilsome|辛苦的；劳苦的；费力的
efface|抹去，抹掉；使自己不受人注意
plastic|塑料的；（外科）造型的；可塑的 n. 塑料制品；整形；可塑体
advocacy|主张；拥护；辩护
clutter|杂乱，混乱 v. 使凌乱；胡乱地填满
profession|职业，专业；声明，宣布，表白
parsimonious|吝啬的；过于节俭的；质量差的
phosphorus|磷
bravo|喝彩；亡命徒 v. 喝彩 int. 好极了
alkali|碱；可溶性无机盐 adj. 碱性的
augment|增加；增大 n. 增加；增大
quarrelsome|喜欢吵架的；好争论的
upheave|鼓起；举起；使隆起
unaccountable|无责任的；莫名其妙的；不可理解的
surmise|猜测；推测 n. 推测；猜度
celebrity|名人；名声
laborious|勤劳的；艰苦的；费劲的
petulant|暴躁的；任性的；难以取悦的
volant|迅速的；会飞的；飞行的 n. (Volant)人名；(法)沃朗
degenerate|使退化；恶化 adj. 退化的；堕落的 n. 堕落的人
chimerical|空想的，妄想的；荒唐的
slope|斜坡；倾斜；斜率；扛枪姿势 v. 倾斜；逃走
scathe|损伤；损害 n. 损伤；危害；损害
generation|一代；产生；一代人；生殖
brigade|旅；大部队；队列 v. 把…编成旅；把…编成队
alternate|交替；轮流 adj. 交替的；轮流的 n. 替换物
triennial|每三年的；连续三年的 n. 三年生植物
impugn|指责，非难；抨击；反驳；对…表示怀疑
altimeter|测高仪，高度计
orthodoxy|正统；正教；正统说法
gasoline|汽油
hindrance|障碍；妨碍；妨害；阻碍物
flaunt|炫耀；飘扬 n. 炫耀；飘扬；招展
evolution|演变；进化论；进展
toll|通行费；代价；钟声；伤亡人数 v. 征收；敲钟
assertive|肯定的；独断的；坚定而自信的
median|n中值，中位数；三角形中线；梯形中位线 adj. 中值的；中央的
salient|显著的；突出的；跳跃的 n. 凸角；突出部分
constructive|建设性的；推定的；构造上的；有助益的
anathema|诅咒；革出教门；被诅咒者；令人厌恶的人
retrograde|倒退的；退化的；次序颠倒的 v. 逆行；倒退；退步 adv. 倒退地；向后地
wherever|无论什么地方；究竟在哪里 conj. 无论在哪里；无论什么情况下
effeminate|柔弱的；女人气的 n. 女子气的男人 vt. 使柔弱；使无男子汉气概 vi. 变得无男子汉气概；变得柔弱
torrid|晒热的；热情的
dynamic|动态的；动力的；动力学的；有活力的 n. 动态；动力
resignation|辞职；放弃；辞职书；顺从
literacy|读写能力；精通文学
dissipate|浪费；使…消散
imaginary|虚构的，假想的；想像的；虚数的
symptomatic|有症状的；症候的
purposeful|有目的的；有决心的
pervade|遍及；弥漫
aesthetic|美的；美学的；审美的，具有审美趣味的
caustic|[化学] 腐蚀性的；[化学] 苛性的；刻薄的；焦散的 n. [助剂] 腐蚀剂；苛性钠；焦散曲线
timer|[电子] 定时器；计时器；计时员，记时员；跑表；延时调节器
helix|螺旋，螺旋状物；[解剖] 耳轮
advantageous|有利的；有益的
lucrative|有利可图的，赚钱的；合算的
canonical|依教规的；权威的；牧师的 n. 牧师礼服
guise|伪装；装束；外观 vt. 使化装 vi. 伪装
censorship|审查制度；审查机构
illegal|[法] 非法的；违法的；违反规则的 n. 非法移民，非法劳工
consultant|顾问；咨询者；会诊医生
burgeon|芽, 嫩枝 v. 萌芽, 发芽
automaton|自动机；机器人；自动机器
analyze|对…进行分析，分解（等于analyse）
resonate|共鸣；共振
safeguard|[安全] 保护；保卫；保护措施 v. [安全] 保护，护卫
rectify|改正；精馏；整流
debut|初次登台；开张 v. 初次登台
braze|用黄铜制；使成黄铜色 n. 铜焊
pestilence|瘟疫（尤指鼠疫）；有害的事物
medieval|中世纪的；原始的；仿中世纪的；老式的
suspend|延缓，推迟；使暂停；使悬浮
demolition|拆除（等于demolishment）；破坏；毁坏
soliloquy|独白；自言自语
exemplary|典范的；惩戒性的；可仿效的
paradigm|范例；词形变化表
dilate|扩大；膨胀；详述
entity|实体；存在；本质
pecuniary|金钱的；应罚款的
grandiose|宏伟的；堂皇的；浮夸的；宏大的
censorious|挑剔的；受批判的（名词censoriousness，副词censoriously）
atypical|非典型的；不合规则的
gastronomy|烹饪法，美食法；享乐主义
witticism|妙语；名言；俏皮话
enumerate|列举；枚举；计算
echo|反射；重复 n. 回音；效仿
qualification|资格；条件；限制；赋予资格
invalid|无效的；有病的；残废的 n. 病人；残废者 v. 使伤残；使退役
antediluvian|大洪水前的；远古的；陈旧的；旧式的 n. 大洪水以前的人；年迈的人；不合时宜的人
moratorium|暂停，中止；[金融] 延期偿付
provocative|刺激的，挑拨的；气人的 n. 刺激物，挑拨物；兴奋剂
undulate|起伏，波动；震动；呈波浪形 adj. 波动的；起伏的；波浪形的
salvage|打捞；海上救助；抢救财货；救难的奖金 v. 抢救；海上救助
gourmet|美食家 adj. 菜肴精美的
reciprocal|互惠的；相互的；倒数的，彼此相反的 n. [数] 倒数；互相起作用的事物
adulatory|阿谀的，奉承的；谄媚的
append|附加；贴上；盖章 n. 设置数据文件的搜索路径
rationalize|使……合理化；使……有理化；为……找借口
assay|化验；试验 v. 分析；化验；尝试
renovate|更新；修复；革新；刷新
leisure|闲暇；空闲；安逸 adj. 空闲的；有闲的；业余的
churlish|没有礼貌的；脾气暴躁的
sermonize|说教；布道
incandescent|辉耀的；炽热的；发白热光的
quadrant|象限；[海洋][天] 象限仪；四分之一圆
canine|犬的；犬齿的；犬科的；似犬的 n. 犬；[解剖] 犬齿
seminar|讨论会，研讨班
veracity|诚实；精确性；老实；说真实话
disrepute|不光彩，坏名声
column|纵队，列；专栏；圆柱，柱形物
deduce|推论，推断；演绎出
contradict|反驳；否定；与…矛盾；与…抵触
effulgence|灿烂；光辉
votary|崇拜者；出家人 adj. 立誓任圣职的；誓约的
sparse|稀疏的；稀少的
inveterate|根深的；积习的；成癖的
indicator|指示器；[试剂] 指示剂；[计] 指示符；压力计
ray|射线；光线；【鱼类】鳐形目(Rajiformes)鱼 v. 放射；显出
aristocrat|贵族
deduct|扣除，减去；演绎
disturb|打扰；妨碍；使不安；弄乱；使恼怒
discord|不和；不调和；嘈杂声 v. 不一致；刺耳
brightness|[光][天] 亮度；聪明，活泼；鲜艳；愉快
pusillanimous|胆怯的；懦弱的；优柔寡断的
ruthless|无情的，残忍的
mordacious|锐利的；辛辣的
quantum|量子论；额；美国昆腾公司（世界领先的硬盘生产商）
bravado|虚张声势；冒险
tawdry|非常华丽的；廉价而俗丽的 n. 俗丽的东西；廉价而俗丽之物
supplement|增补，补充 n. 增补，补充；补充物；增刊，副刊
aqueous|水的，水般的
espy|看到；认出；发现 n. (Espy)人名；(英、法)埃斯皮
lament|挽歌；恸哭；悲痛之情 v. 哀悼；悲叹；悔恨
hinder|成为阻碍 adj. 后面的 n. (Hinder)人名；(芬)欣德
admonish|告诫；劝告
dominate|控制；支配；占优势；在…中占主要地位
vacillate|犹豫；踌躇；摇摆
proportionate|成比例的；相称的；适当的 vt. 使成比例；使相称
conformity|一致，适合；符合；相似
axis|轴；轴线；轴心国
misrepresent|歪曲，误传；不合适地代表
conductor|导体；售票员；领导者；管理人
travail|分娩的痛苦；艰苦劳动 v. 辛勤努力；经受分娩的阵痛
inefficacious|无用的；无效果的
excrement|粪便，排泄物
